Number	Gender	GivenName	Surname	StreetAddress	City	ZipCode	EmailAddress	TelephoneNumber	Age	Color	Occupation	Company	Vehicle	Domain	BloodType	Kilograms	Centimeters	Birthday
1	female	Jenný	Guðbrandsdóttir	Þingvallastræti 44	Súðavík	420	JennyGudbrandsdottir@rhyta.com	485 8077	53	Silver	Food preparation worker	Creative Wealth	2012 Volvo XC90	BloggerCourse.is	A+	74.5	171	10/3/1965
2	female	Fríður	Hermannsdóttir	Geislagata 88	Hofsós	565	FridurHermannsdottir@cuvox.de	419 3949	82	Purple	Street vendor	Big Bear Stores	1998 Daihatsu Move	ForumChats.is	A+	48.6	156	8/25/1937
3	male	Helgi	Sigurbjarnason	Hafnarstraeti 93	Akureyri	603	HelgiSigurbjarnason@dayrep.com	436 6351	30	Blue	Construction manager	J. Brannam	2012 Daewoo Rezzo	TraderInside.is	B+	98.4	168	11/7/1988
4	female	Ásgerður	Bárudóttir	Breidamork 64	Hveragerði	810	AsgerdurBarudottir@teleworm.us	488 3922	63	Red	Gerontology aide	Sounds Great Inc	2003 GMC Sonoma	CrewInformation.is	O+	101.1	167	2/9/1956
5	female	Vaka	Grímsdóttir	Fjolnisgata 9	Akureyri	600	VakaGrimsdottir@fleckens.hu	416 2360	66	Green	Tour escort	Afterthoughts	1998 Panoz Esperante	BangNames.is	A-	92.6	156	11/14/1952
6	female	Barbara	Vilhjálmsdóttir	Smáratún 36	Vík	870	BarbaraVilhjalmsdottir@dayrep.com	471 3456	54	Purple	Behavioral disorder counselor	Eagle Hardware & Garden	2012 Lada Granta	MentalNap.is	O+	86.9	166	12/17/1964
7	male	Þórðr	Arnfinnsson	Skólastígur 15	Raufarhöfn	675	THordrArnfinnsson@dayrep.com	418 5010	64	Red	Administrative assistant for human resource	Trak Auto	2012 Nissan Patrol	CampDish.is	O+	106.6	174	10/22/1954
8	female	Ingibjörg	Marinósdóttir	Borgarbraut 68	Mjóifjörður	715	IngibjorgMarinosdottir@superrito.com	460 8044	19	Green	Children's librarian	Gas Depot	1996 Chevrolet Lumina	BlueMosquito.is	O+	66.7	164	7/1/2000
9	female	Svava	Björnsdóttir	Gardabraut 24	Garður	250	SvavaBjornsdottir@gustr.com	460 2393	35	Blue	Limousine driver	Lindsley's Lumber	2003 Samsung SM5	MetropolitanExpo.is	O+	98.4	167	7/4/1984
10	female	Hallbjörg	Erlendsdóttir	Hofsbót 65	Varmahlíð	560	HallbjorgErlendsdottir@fleckens.hu	456 3574	50	Orange	Palliative care nurse	Bugle Boy	2015 BMW Z4	DenimClassic.is	A+	78.0	155	12/17/1968
11	male	Geir	Andersson	Skólastígur 79	Raufarhöfn	675	GeirAndersson@superrito.com	485 6666	60	Black	Behavioral disorder counselor	Roadhouse Grill	2005 Toyota Celica	HDTVinsiders.is	O+	105.4	182	3/28/1959
12	female	Rósa	Sigmarsdóttir	Midhraun 3	Garðabær	210	RosaSigmarsdottir@rhyta.com	424 8198	58	Blue	Tax examiner	Cougar Investment	2014 Ford Taurus	GrayBuilding.is	O+	59.4	156	12/3/1960
13	female	Sif	Sigurþórsdóttir	Austurstraeti 3	Reykjavík	109	SifSigurthorsdottir@armyspy.com	466 0317	53	Green	Commercial loan officer	Northern Reflections	1993 Mercedes-Benz 320	CollegeCustoms.is	O+	73.9	157	11/2/1965
